unit_id,age_years,ambient_c,load_pu,top_oil_c,hotspot_c,ageing_rate,voltage_dev_pct,load_current_a,h2_ppm,ch4_ppm,c2h6_ppm,c2h4_ppm,c2h2_ppm,co_ppm,moisture_ppm,pd_pc,oil_bdv_kv,fault_type,health_index,health_class
TX055,7.1,16.6,1.028,62.6,85.6,0.069,-2.18,178.8,9.7,1.0,7.2,1.3,2.36,397.9,13.8,24.0,64.7,normal,90.2,0
TX056,30.2,18.6,0.702,52.5,64.9,0.005,0.47,120.7,5.3,8.8,10.5,9.7,0.84,1154.2,22.9,132.0,45.0,normal,75.2,1
TX056,30.2,16.6,0.772,53.2,67.7,0.008,-1.29,137.4,243.9,236.8,130.6,1333.4,62.94,1285.3,27.7,71.6,42.2,T3,52.8,2
TX056,30.2,37.0,0.749,72.7,86.6,0.078,-1.29,132.1,1953.1,333.7,138.8,910.4,733.38,834.2,37.0,738.2,34.9,D1,34.5,3
TX057,11.7,14.9,0.64,46.4,57.2,0.002,3.16,110.4,9.2,1.3,4.1,3.6,0.41,500.3,15.4,73.0,53.4,normal,86.5,0
TX057,11.7,21.8,0.853,61.5,78.5,0.03,0.31,141.4,19.0,8.4,0.4,4.5,2.16,504.8,19.4,15.9,53.3,normal,87.5,0
TX057,11.7,12.5,0.574,41.3,50.4,0.001,-2.45,102.9,155.5,348.4,429.5,176.1,8.46,855.1,23.4,82.0,42.9,T1,55.3,2
TX058,35.4,-1.8,0.84,37.4,54.1,0.001,2.29,142.3,22.9,14.1,15.9,6.9,1.41,1128.1,28.7,50.4,46.6,normal,74.2,1
TX058,35.4,35.6,0.433,58.6,64.4,0.005,3.8,74.7,25.7,10.7,10.0,3.7,0.2,1306.5,23.4,18.1,40.2,normal,74.9,1
TX059,19.9,21.9,1.272,76.4,108.7,0.879,-0.37,227.5,24.7,5.4,10.4,2.1,2.54,829.1,24.6,32.4,58.3,normal,82.1,1
TX059,19.9,25.0,0.996,69.9,91.7,0.141,-1.19,170.6,863.9,272.8,53.8,41.1,11.64,674.8,18.8,1205.8,42.4,PD,49.1,3
TX059,19.9,39.8,0.945,82.8,102.9,0.477,1.02,160.4,20.6,13.7,10.1,3.9,0.05,698.9,30.5,32.5,55.8,normal,79.9,1
TX059,19.9,33.6,0.857,73.4,90.6,0.123,2.42,153.0,204.2,496.3,355.7,132.3,6.33,1146.9,25.0,31.4,40.8,T1,53.1,2
TX060,26.7,31.9,0.584,61.1,70.4,0.011,-1.17,102.2,110.0,368.8,282.8,157.9,12.57,926.5,23.9,33.5,44.1,T2,61.9,2
TX060,26.7,30.8,0.949,73.9,94.1,0.184,5.49,161.5,859.4,303.5,73.4,24.3,9.89,902.8,36.3,199.9,51.7,PD,48.6,3
TX061,32.4,28.4,0.758,64.5,78.6,0.03,-2.3,130.5,27.2,14.8,17.4,7.0,0.17,1160.0,29.1,28.3,51.1,normal,77.8,1
TX061,32.4,31.1,0.975,75.2,96.3,0.234,-1.96,163.1,20.9,21.9,18.3,7.6,0.91,1203.1,26.6,35.5,48.1,normal,77.2,1
TX062,27.6,12.7,0.882,53.4,71.4,0.012,-2.91,151.9,32.0,12.2,12.6,0.5,0.71,840.8,16.6,9.4,50.2,normal,86.1,0
TX062,27.6,32.0,0.93,74.5,94.1,0.184,-0.21,159.6,291.5,524.5,424.3,205.6,9.37,1127.2,,60.4,38.7,T1,49.7,3
TX062,27.6,13.1,0.976,57.2,78.4,0.029,2.51,170.9,20.3,7.1,13.7,4.0,1.9,1029.3,22.0,46.3,47.5,normal,79.4,1
TX063,10.0,41.0,0.78,77.9,92.6,0.156,-2.8,133.8,0.8,7.2,11.2,6.9,3.07,388.0,18.1,52.6,53.9,normal,86.2,0
TX063,10.0,32.1,0.94,74.9,94.9,0.199,-3.89,171.5,11.3,1.3,4.0,1.1,1.56,585.8,18.7,6.6,53.7,normal,90.2,0
TX063,10.0,17.2,1.109,66.1,92.1,0.146,-2.57,198.4,16.1,6.1,4.1,2.7,0.56,623.8,16.2,102.0,61.1,normal,85.7,0
TX064,17.2,28.8,0.803,66.5,82.0,0.046,-1.5,149.0,15.1,16.8,2.1,4.1,0.76,601.5,18.6,0.0,46.3,normal,80.5,1
TX064,17.2,23.7,0.663,56.1,67.5,0.008,0.57,111.5,194.9,518.4,252.5,149.4,5.3,1165.4,23.9,39.2,53.3,T1,57.9,2
TX064,17.2,36.8,0.822,75.3,91.4,0.135,-2.66,153.9,23.7,9.3,12.3,6.0,2.87,662.4,28.0,26.3,51.8,normal,81.6,1
TX065,30.1,30.2,1.173,81.3,109.7,0.973,-0.93,206.0,7.9,11.1,8.2,0.8,2.16,977.9,28.5,35.1,60.3,normal,78.4,1
TX065,30.1,33.5,0.856,73.2,90.4,0.121,-1.85,151.0,71.4,344.1,645.8,221.7,6.13,1223.0,30.3,17.4,45.1,T1,56.9,2
TX065,30.1,29.1,0.534,56.4,64.5,0.005,-1.96,92.1,24.1,18.9,13.0,6.8,0.26,927.1,25.3,41.4,54.8,normal,79.0,1
TX066,22.4,33.0,0.593,62.6,72.1,0.014,0.44,111.5,129.2,455.1,290.3,94.9,5.98,994.8,23.3,102.7,43.3,T1,56.3,2
TX066,22.4,26.3,0.867,66.5,84.0,0.057,-3.8,146.0,1204.5,161.9,92.6,304.0,301.98,870.6,30.6,520.9,41.3,D1,47.2,3
TX066,22.4,26.1,0.676,58.9,70.7,0.011,-1.73,124.7,134.9,502.5,179.0,92.3,7.28,1088.0,30.2,86.7,42.6,T1,54.1,2
TX067,10.4,42.1,0.898,83.4,101.9,0.431,-1.79,158.3,5.2,4.3,7.6,5.7,0.09,495.1,17.8,18.2,58.0,normal,88.6,0
TX067,10.4,26.6,0.93,69.0,88.6,0.099,1.22,162.5,171.9,316.2,89.4,728.0,46.81,867.0,24.7,53.3,49.3,T3,55.2,2
TX068,24.8,18.0,0.79,55.3,70.4,0.011,-0.5,139.4,13.4,8.2,4.0,9.6,2.09,914.1,30.5,375.7,49.9,normal,73.8,1
TX068,24.8,23.0,1.135,72.8,99.7,0.34,-3.21,194.5,306.8,773.9,361.3,270.1,11.1,1154.5,26.4,37.4,53.9,T1,53.0,2
TX068,24.8,30.1,0.651,62.0,73.1,0.015,1.71,107.9,909.3,210.6,74.6,423.5,737.53,961.5,29.1,475.2,50.1,D2,53.4,2
TX068,24.8,25.6,0.905,67.2,85.9,0.072,-0.79,152.0,21.0,5.8,2.3,3.1,1.28,927.8,17.2,27.1,45.9,normal,82.2,1
TX069,8.6,13.4,0.757,49.4,63.5,0.004,0.94,131.1,14.1,1.2,4.0,5.3,0.47,391.8,18.4,97.5,56.6,normal,85.3,0
TX069,8.6,19.1,0.788,56.3,71.3,0.012,3.14,138.3,59.4,188.6,71.8,69.3,3.63,453.1,21.1,90.7,65.5,T1,74.3,1
TX069,8.6,7.4,0.831,46.2,62.6,0.004,-1.07,147.8,6.5,2.5,4.4,4.3,2.08,403.0,19.8,82.7,52.8,normal,85.0,0
TX070,34.1,34.0,0.609,64.3,74.3,0.018,-0.1,102.2,25.6,15.5,14.2,8.3,0.93,984.4,31.2,100.6,47.6,normal,72.6,1
TX070,34.1,20.7,0.848,60.1,77.0,0.025,0.87,136.2,17.3,24.1,6.9,5.7,0.64,1007.6,29.1,31.9,54.7,normal,77.2,1
TX070,34.1,33.7,0.715,68.1,81.0,0.04,1.69,123.0,449.4,626.2,94.2,1672.2,119.76,1254.6,31.4,152.5,34.5,T3,37.7,3
TX071,37.3,11.8,0.995,56.6,78.4,0.03,-0.13,171.8,21.0,8.3,11.3,8.6,0.32,1238.7,27.2,61.3,48.3,normal,75.2,1
TX071,37.3,32.5,0.975,76.6,97.7,0.272,0.3,176.2,2828.0,598.6,189.2,1289.3,1383.41,1148.8,32.2,510.8,41.4,D2,42.4,3
TX072,30.7,31.0,0.459,55.1,61.4,0.003,0.04,80.2,18.7,13.8,14.6,9.7,0.89,1070.6,26.1,37.5,44.8,normal,75.9,1
TX072,30.7,21.5,0.731,56.5,69.8,0.01,0.56,128.5,235.7,192.5,49.5,1004.2,48.68,1310.0,31.8,38.2,36.6,T3,50.5,3
TX073,26.4,27.8,0.945,70.8,90.9,0.128,0.47,160.8,12.7,9.6,3.1,3.6,0.47,814.5,24.2,9.3,49.8,normal,83.5,1
TX073,26.4,21.5,0.841,60.6,77.3,0.026,-2.12,145.9,326.5,716.3,278.0,130.3,9.64,1269.3,28.4,37.0,42.3,T1,46.8,3
TX073,26.4,18.0,0.765,54.3,68.7,0.009,1.28,136.3,1003.8,278.8,72.4,167.6,655.14,809.7,21.3,276.0,39.1,D1,49.1,3
TX073,26.4,21.7,0.408,43.6,48.9,0.001,1.09,71.4,15.1,13.5,13.4,3.3,2.09,769.9,18.5,145.0,53.7,normal,80.2,1
TX074,4.8,14.0,0.793,51.4,66.6,0.007,0.83,140.4,7.6,7.0,3.9,4.9,0.15,333.3,15.9,322.7,55.0,normal,84.8,1
TX074,4.8,40.9,0.939,83.7,103.5,0.511,4.24,174.0,0.9,8.4,2.6,2.4,1.84,391.0,9.0,36.9,60.4,normal,91.4,0
TX074,4.8,24.6,0.705,58.6,71.2,0.012,1.59,128.8,11.4,3.3,2.4,4.3,0.69,340.3,5.3,175.1,63.4,normal,88.3,0
TX075,12.5,22.0,0.934,64.6,84.3,0.06,2.06,155.9,11.9,1.5,1.2,0.2,1.0,730.8,21.3,121.7,46.9,normal,81.1,1
TX075,12.5,33.9,0.89,74.9,93.1,0.164,2.88,159.9,4.4,9.1,1.6,2.8,2.02,546.8,13.9,89.0,60.8,normal,86.3,0
TX076,33.8,21.9,0.538,49.3,57.4,0.002,-0.54,97.8,14.3,12.1,12.8,12.4,0.39,1190.0,31.9,0.0,45.6,normal,72.3,1
TX076,33.8,13.3,0.812,51.4,67.2,0.007,0.78,140.9,38.3,12.8,14.0,9.0,1.25,1145.6,22.0,95.6,43.6,normal,74.0,1
TX077,25.2,29.9,0.635,61.2,71.8,0.013,3.43,110.4,18.7,9.4,2.0,2.4,2.91,911.0,17.6,41.6,42.9,normal,79.3,1
TX077,25.2,12.0,0.968,55.8,76.7,0.024,3.53,174.6,1155.7,262.0,30.4,30.9,8.61,862.5,28.4,308.8,43.4,PD,50.4,3
TX078,13.2,32.3,0.729,67.3,80.6,0.038,3.69,130.4,369.4,145.3,48.4,114.0,444.71,572.6,14.5,1094.6,50.3,D1,61.1,2
TX078,13.2,30.5,0.937,73.2,93.1,0.163,4.52,164.4,105.3,227.9,135.7,25.8,4.84,740.1,21.7,70.7,44.6,T1,68.4,2
TX078,13.2,26.8,1.186,78.4,107.3,0.757,5.48,205.0,6.2,7.8,3.1,2.1,0.16,683.6,23.4,34.6,58.3,normal,84.4,1
TX079,14.7,11.5,1.072,59.1,83.6,0.055,-1.02,177.1,946.5,183.7,11.4,32.8,7.66,599.5,23.8,0.0,45.4,PD,55.2,2
TX079,14.7,34.7,0.64,66.2,77.0,0.025,-2.04,116.1,14.6,6.5,7.5,2.0,1.15,697.7,16.8,46.5,65.5,normal,85.9,0
TX079,14.7,30.5,1.018,76.2,98.8,0.308,3.66,177.7,8.9,7.0,5.7,0.2,0.17,723.3,18.1,15.1,48.6,normal,87.1,0
TX080,14.1,20.5,1.053,67.4,91.3,0.134,-2.0,184.4,12.5,13.0,7.0,6.0,1.38,642.4,18.1,172.0,54.5,normal,82.8,1
TX080,14.1,27.6,0.694,61.2,73.5,0.016,1.25,114.4,14.0,6.7,0.5,3.7,1.5,430.2,17.3,65.1,58.1,normal,85.2,0
TX080,14.1,41.8,0.571,70.5,79.5,0.034,-2.67,101.1,15.7,4.6,6.4,1.9,1.13,598.6,15.0,54.3,50.4,normal,86.5,0
TX081,48.0,12.1,1.037,58.4,81.7,0.044,1.15,180.1,530.6,829.3,383.3,2621.1,78.15,1852.0,39.6,26.0,25.0,T3,28.2,3
TX081,48.0,21.5,0.874,61.9,79.6,0.034,0.1,156.2,601.8,1067.7,576.7,1036.8,23.74,1833.2,43.1,54.8,33.8,T2,35.3,3
TX081,48.0,32.2,0.76,68.3,82.5,0.048,0.16,131.2,47.3,20.3,19.7,10.6,1.04,1401.8,38.2,34.6,54.6,normal,70.4,1
TX082,15.5,9.7,0.628,40.7,51.2,0.001,-1.39,109.4,3.0,10.4,16.8,2.9,2.38,702.7,14.6,36.9,61.5,normal,87.1,0
TX082,15.5,22.0,0.681,55.0,66.9,0.007,2.57,122.4,11.8,2.6,8.0,1.1,0.44,690.1,18.7,43.0,58.0,normal,85.3,0
TX082,15.5,32.3,0.93,74.8,94.4,0.19,-4.15,164.6,10.4,2.3,8.0,5.4,1.99,537.5,13.9,42.8,57.3,normal,87.1,0
TX083,6.3,21.0,0.789,58.2,73.3,0.016,-2.32,141.5,1712.0,138.7,29.4,38.5,4.65,448.1,14.5,295.5,46.3,PD,53.5,2
TX083,6.3,21.1,0.63,52.2,62.7,0.004,-0.67,108.6,7.0,5.7,6.8,3.6,1.13,397.4,12.1,54.3,61.2,normal,89.5,0
TX083,6.3,34.3,0.634,65.6,76.2,0.023,-0.56,113.7,7.7,5.3,8.4,1.7,1.65,494.0,12.2,35.7,58.1,normal,90.3,0
TX084,22.7,43.3,0.744,78.8,92.5,0.154,0.65,137.5,11.4,17.2,9.7,6.9,0.12,781.5,20.8,42.3,44.9,normal,79.8,1
TX084,22.7,48.7,0.953,92.0,112.3,1.269,-0.9,168.8,167.1,691.1,317.1,103.4,7.97,1113.1,19.9,45.3,37.2,T1,49.6,3
TX084,22.7,30.4,0.543,58.0,66.3,0.006,-1.08,91.6,28.7,1.8,3.8,6.4,3.02,838.5,23.7,21.9,51.9,normal,82.5,1
TX085,9.5,12.3,0.839,51.4,68.0,0.008,-1.6,141.5,67.6,276.2,103.9,331.2,3.23,614.4,13.1,37.5,51.4,T2,73.1,1
TX085,9.5,2.9,0.569,31.6,40.5,0.0,-0.51,94.7,12.7,0.3,0.6,7.3,0.8,495.2,16.8,15.5,61.0,normal,89.4,0
TX086,48.0,10.5,1.051,57.3,81.1,0.041,0.71,182.1,59.5,14.9,6.7,1.0,0.2,1439.5,32.8,59.3,41.5,normal,66.9,2
TX086,48.0,32.0,0.938,74.7,94.6,0.194,2.64,166.5,160.2,365.9,262.6,569.5,28.72,1674.8,43.3,52.1,37.1,T2,42.2,3
TX087,20.9,21.3,0.612,51.7,61.7,0.004,-0.15,105.9,20.8,15.4,7.8,8.9,2.85,758.2,20.3,238.7,49.0,normal,78.8,1
TX087,20.9,17.2,0.977,61.3,82.5,0.048,-2.3,167.7,181.6,416.6,610.1,280.4,12.06,1037.5,25.8,22.4,39.1,T1,50.2,3
TX088,11.1,39.3,0.646,71.0,82.0,0.045,-1.77,111.0,12.1,7.5,4.5,5.1,1.43,538.4,14.1,17.3,,normal,89.7,0
TX088,11.1,28.0,1.019,73.7,96.3,0.235,-1.43,171.7,6.0,7.4,1.9,2.4,0.87,563.1,12.4,37.9,62.1,normal,89.0,0
TX089,23.0,44.1,1.066,91.5,115.9,1.807,0.38,185.9,14.9,8.7,10.6,2.4,2.23,849.3,22.6,150.3,55.1,normal,76.7,1
TX089,23.0,24.0,0.819,62.4,78.4,0.03,-2.69,141.4,1208.8,187.0,50.1,302.4,656.91,758.8,30.8,906.8,40.9,D1,40.8,3
TX089,23.0,29.4,0.635,60.6,71.3,0.012,-2.12,110.6,18.3,21.1,8.5,2.9,0.06,825.1,21.0,16.4,51.5,normal,84.3,1
TX089,23.0,18.9,0.745,54.4,68.2,0.008,1.3,129.9,17.6,14.7,8.1,6.4,0.53,868.3,23.1,74.1,56.0,normal,80.5,1
TX090,22.9,16.6,0.765,52.9,67.2,0.007,-1.06,132.3,172.2,103.0,188.1,481.3,11.79,1125.8,20.4,7.2,42.1,T2,62.4,2
TX090,22.9,34.0,0.952,77.2,97.6,0.269,0.14,162.8,17.6,8.4,13.0,5.1,0.98,659.8,19.8,221.5,55.5,normal,79.7,1
TX090,22.9,29.0,0.427,51.8,57.4,0.002,1.71,69.3,21.0,14.3,10.4,4.4,1.25,829.7,18.5,35.2,61.0,normal,83.8,1
TX090,22.9,37.2,0.786,74.3,89.3,0.107,-1.61,134.9,21.1,13.0,5.7,6.9,0.96,759.5,26.1,27.4,56.6,normal,81.2,1
TX091,28.9,30.7,0.762,66.9,81.2,0.041,-1.34,138.9,28.8,10.5,9.2,2.7,2.07,902.6,26.3,21.5,48.6,normal,79.4,1
TX091,28.9,14.9,0.841,54.1,70.8,0.011,-3.81,145.4,19.2,31.5,11.6,4.8,2.73,805.9,25.3,41.5,59.0,normal,79.0,1
TX091,28.9,17.8,0.668,50.4,62.0,0.004,0.67,112.9,923.1,383.0,112.8,380.1,410.12,852.1,31.1,426.7,36.2,D1,43.6,3
TX092,11.2,29.5,0.795,66.9,82.1,0.046,-3.12,148.9,6.9,2.5,3.7,4.2,-1.0,321.9,12.0,47.6,63.0,normal,88.8,0
TX092,11.2,20.7,0.634,52.0,62.6,0.004,-4.49,112.1,561.6,141.2,42.9,156.8,194.44,625.9,14.7,119.2,54.0,D1,66.6,2
TX093,12.8,43.1,1.058,90.2,114.2,1.534,-0.26,192.8,10.2,7.0,8.8,6.4,0.31,555.6,17.2,41.0,59.0,normal,84.7,1
TX093,12.8,28.3,1.124,77.7,104.2,0.549,-1.47,202.0,9.5,13.1,7.6,12.1,1.65,490.5,17.7,176.2,58.2,normal,83.1,1
TX093,12.8,36.7,1.026,82.6,105.5,0.629,0.49,179.4,433.5,141.5,45.6,263.2,657.32,555.3,15.0,186.5,47.4,D2,64.8,2
TX094,22.5,28.3,0.413,50.5,55.8,0.002,1.91,70.8,99.2,272.8,29.7,1054.1,40.7,887.9,24.9,32.5,54.0,T3,63.9,2
TX094,22.5,34.4,0.743,69.9,83.6,0.055,-2.11,135.6,100.0,256.8,229.3,818.8,14.88,955.9,28.2,34.5,45.1,T2,56.8,2
TX094,22.5,31.2,0.687,64.5,76.6,0.024,2.82,120.5,14.0,18.4,5.4,2.9,0.13,842.8,19.6,24.5,44.0,normal,80.9,1
TX095,25.3,39.1,0.742,74.6,88.2,0.094,-5.23,131.2,15.0,16.7,5.9,3.5,0.38,877.8,24.0,56.9,61.1,normal,80.2,1
TX095,25.3,26.2,0.774,62.9,77.5,0.026,-2.05,133.7,914.9,359.8,75.5,253.4,1687.52,813.4,28.5,684.5,,D1,41.5,3
TX096,33.3,37.8,0.984,82.2,103.6,0.516,-1.07,169.4,399.1,544.6,401.2,803.8,24.13,1333.4,24.6,42.5,44.5,T2,51.6,3
TX096,33.3,27.7,0.884,68.4,86.5,0.077,4.3,156.3,1567.4,330.1,173.1,341.6,992.41,1018.2,38.5,677.7,,D1,29.3,3
TX096,33.3,4.3,0.974,48.4,69.5,0.01,-4.85,162.7,2694.5,342.5,74.3,66.0,3.94,1032.6,28.7,1318.9,46.9,PD,43.4,3
TX096,33.3,19.7,0.515,46.2,53.8,0.001,3.51,90.6,40.5,15.6,13.9,4.2,1.65,1051.5,26.2,14.4,50.1,normal,79.8,1
TX097,36.9,24.6,0.687,57.9,70.0,0.01,0.54,120.0,1031.5,286.6,153.5,526.7,1082.5,1318.4,35.6,544.0,41.8,D1,37.3,3
TX097,36.9,30.7,0.63,61.8,72.3,0.014,-1.53,106.9,1613.4,187.6,82.2,42.3,11.2,1301.3,37.7,174.7,43.5,PD,45.5,3
TX097,36.9,22.3,0.481,47.4,54.2,0.001,-2.12,85.0,953.2,136.7,114.9,437.7,1431.75,1255.4,31.5,182.0,43.6,D1,47.8,3
TX097,36.9,23.7,0.576,52.6,61.7,0.004,0.89,102.6,25.8,7.9,14.8,7.5,2.83,1179.7,26.2,17.6,44.2,normal,75.5,1
TX098,48.0,25.9,0.856,65.7,82.8,0.05,0.66,146.5,30.3,26.9,11.3,13.8,1.54,1466.9,34.1,25.4,52.5,normal,72.7,1
TX098,48.0,28.6,0.832,67.4,83.8,0.056,3.73,140.9,188.7,656.5,296.1,701.3,16.06,1629.4,38.8,28.7,37.0,T2,46.0,3
TX099,25.0,15.9,0.633,47.1,57.7,0.002,-2.88,113.4,10.9,12.6,2.9,3.9,3.13,892.0,20.8,96.2,43.3,normal,76.6,1
TX099,25.0,38.4,0.93,80.9,100.5,0.368,1.78,162.0,10.6,6.2,11.9,4.6,0.09,984.9,19.8,87.8,,normal,81.3,1
TX100,17.3,14.5,0.844,53.8,70.5,0.011,0.64,155.6,13.2,8.7,11.0,0.8,0.1,686.1,15.7,85.0,61.4,normal,84.7,1
TX100,17.3,15.8,0.84,54.9,71.6,0.013,2.73,147.6,751.8,229.5,55.4,29.3,0.24,582.1,25.6,89.5,47.1,PD,55.9,2
TX100,17.3,17.8,0.852,57.4,74.4,0.018,-0.5,151.3,194.3,426.0,154.4,397.2,12.04,702.7,,56.2,46.2,T2,60.9,2
TX101,21.4,15.9,0.869,56.1,73.7,0.017,1.67,150.5,1937.4,485.4,74.3,51.7,16.59,810.0,24.4,616.1,29.3,PD,36.7,3
TX101,21.4,25.3,1.038,71.7,95.0,0.203,-0.64,185.7,14.2,12.0,10.3,9.6,2.42,736.1,24.2,53.2,60.1,normal,80.9,1
TX101,21.4,20.8,0.846,60.1,77.0,0.025,2.85,143.0,24.5,18.8,11.3,5.0,0.24,827.5,20.3,21.5,53.3,normal,84.3,1
TX102,15.9,18.0,0.67,50.7,62.3,0.004,4.05,118.6,23.1,3.7,2.9,11.7,1.2,535.1,17.6,81.4,55.2,normal,84.0,1
TX102,15.9,31.1,0.64,62.6,73.4,0.016,-1.04,110.0,7.2,0.7,0.8,1.4,1.61,662.9,13.0,21.7,39.1,normal,82.8,1
TX103,40.8,23.8,0.772,60.4,74.9,0.019,0.32,134.7,18.2,15.8,8.9,8.8,0.14,1195.2,35.4,32.9,45.8,normal,70.8,1
TX103,40.8,15.5,0.455,39.5,45.7,0.0,-5.63,78.6,1127.7,237.8,31.8,56.2,10.55,1397.6,37.1,184.8,49.2,PD,50.8,3
TX103,40.8,35.9,0.856,75.6,92.8,0.159,-2.82,143.1,2265.8,189.7,36.2,63.5,10.42,1224.1,32.6,277.1,34.9,PD,41.3,3
TX104,18.2,26.4,0.631,57.5,68.1,0.008,0.59,112.9,13.7,10.3,10.1,4.1,2.01,693.4,22.2,12.7,51.4,normal,85.4,0
TX104,18.2,27.8,0.71,62.0,74.8,0.019,-0.79,125.4,9.4,11.1,8.9,2.7,2.06,613.3,16.7,82.7,62.0,normal,84.0,1
TX104,18.2,23.5,0.709,57.7,70.4,0.011,-4.93,122.6,867.4,173.2,23.4,9.9,5.42,663.3,21.3,1802.7,,PD,55.8,2
TX105,20.1,31.3,0.77,67.8,82.3,0.047,-3.85,138.3,13.8,8.8,7.4,4.4,0.01,766.0,23.1,21.6,46.8,normal,82.0,1
TX105,20.1,28.5,0.494,54.1,61.3,0.003,3.53,89.6,27.5,6.5,8.5,7.3,1.27,694.2,20.8,55.6,67.2,normal,82.5,1
TX105,20.1,15.1,0.992,59.8,81.5,0.043,-2.87,173.2,5.5,16.7,8.6,3.4,0.23,802.2,19.1,24.8,56.5,normal,85.1,0
TX106,20.5,10.0,0.516,36.5,44.1,0.0,0.77,92.6,1956.1,506.2,78.4,15.8,5.06,819.0,27.2,465.8,47.6,PD,46.5,3
TX106,20.5,20.2,0.785,57.2,72.2,0.014,0.15,135.8,19.4,9.4,11.9,3.3,1.82,931.0,17.9,43.0,49.9,normal,84.2,1
TX106,20.5,2.8,1.156,53.3,81.1,0.041,-1.0,200.8,146.5,277.2,44.9,731.1,21.44,1031.4,20.9,28.5,52.2,T3,64.9,2
TX106,20.5,7.0,0.517,33.5,41.2,0.0,0.41,87.7,2.6,4.4,4.5,0.2,0.86,571.7,16.2,59.7,58.8,normal,84.7,1
TX107,7.9,29.7,0.632,60.9,71.4,0.012,-1.16,109.9,84.1,185.6,142.3,119.7,1.21,600.5,22.1,28.7,,T1,70.0,1
TX107,7.9,29.4,0.913,71.2,90.2,0.119,-2.97,154.1,11.1,2.5,4.7,0.5,0.34,620.0,13.7,51.1,52.5,normal,88.7,0
TX107,7.9,20.0,0.967,63.8,84.7,0.063,0.5,177.4,11.4,7.0,1.2,1.4,0.6,369.6,12.2,35.3,60.6,normal,89.9,0
TX108,18.4,16.3,0.762,52.5,66.7,0.007,2.73,136.5,186.1,328.9,95.8,735.5,5.69,864.1,22.4,196.6,49.9,T3,60.3,2
TX108,18.4,19.4,0.761,55.6,69.8,0.01,2.14,131.8,9.7,11.0,8.7,1.2,2.2,707.9,12.2,54.8,53.5,normal,86.6,0
TX108,18.4,25.7,0.517,52.2,59.9,0.003,1.18,89.4,5.6,13.7,12.0,5.3,2.68,793.8,21.9,0.0,,normal,80.1,1
TX109,13.9,30.3,0.589,59.8,69.2,0.009,1.86,106.6,14.2,5.2,5.1,1.6,0.01,751.9,22.2,44.2,57.5,normal,84.2,1
TX109,13.9,23.3,0.416,45.6,51.0,0.001,-1.07,71.3,18.4,15.4,6.4,2.1,1.21,500.4,14.0,53.8,58.9,normal,86.7,0
TX109,13.9,20.3,0.558,48.5,57.2,0.002,1.24,101.0,10.3,8.6,5.4,0.2,1.81,335.3,14.9,49.9,52.6,normal,86.7,0
TX110,13.6,41.1,0.492,66.6,73.7,0.017,0.94,88.9,14.3,8.7,6.9,2.3,1.55,432.0,16.2,28.0,53.1,normal,87.4,0
TX110,13.6,31.0,0.79,68.3,83.4,0.054,-1.79,139.5,7.1,6.2,4.9,1.7,0.92,593.6,10.1,60.6,47.6,normal,87.2,0
TX110,13.6,39.1,0.85,78.6,95.6,0.216,-0.94,137.1,116.8,233.7,207.0,66.8,8.69,745.9,25.7,21.7,46.6,T1,65.6,2
TX110,13.6,22.5,0.945,65.5,85.6,0.069,-3.63,159.8,1.6,11.7,8.8,7.0,0.16,663.7,10.6,26.2,59.5,normal,90.0,0
TX111,20.2,7.7,0.355,27.4,31.5,0.0,0.07,62.0,24.8,13.6,3.5,4.7,1.95,783.6,20.7,27.0,58.4,normal,83.9,1
TX111,20.2,20.5,0.795,57.9,73.2,0.015,-1.49,144.1,15.9,4.5,11.1,1.7,0.04,719.3,21.6,84.0,42.3,normal,77.4,1
TX112,15.5,35.1,0.788,72.3,87.4,0.085,2.87,133.8,15.5,8.1,9.6,2.0,1.3,566.5,17.9,74.0,53.9,normal,84.3,1
TX112,15.5,11.1,1.186,62.7,91.6,0.138,-2.25,202.1,14.8,9.8,1.6,3.9,1.07,601.2,21.8,23.2,66.6,normal,85.0,0
TX113,42.3,32.0,0.704,66.0,78.5,0.03,-0.44,120.6,1487.7,305.8,50.6,33.0,9.1,1390.2,42.0,702.3,41.2,PD,40.6,3
TX113,42.3,21.0,0.763,57.3,71.6,0.013,-3.01,131.4,257.2,1163.1,661.7,379.7,14.48,1564.1,33.3,45.4,35.9,T1,42.5,3
TX113,42.3,18.8,0.874,59.2,76.9,0.025,-2.87,160.4,354.1,36.7,579.2,429.1,4.38,1624.0,44.5,45.1,30.3,T1,35.2,3
TX113,42.3,30.0,0.605,60.1,69.9,0.01,-1.54,99.9,366.7,819.9,207.9,772.7,86.26,1458.6,44.2,23.9,35.7,T3,39.5,3
TX114,10.7,23.2,0.694,56.8,69.0,0.009,-0.13,132.3,5.6,13.6,4.6,8.5,2.39,340.5,12.2,42.6,53.9,normal,88.7,0
TX114,10.7,24.0,0.802,61.7,77.2,0.025,-1.32,139.4,71.1,288.9,240.1,103.6,6.39,852.0,23.2,19.8,50.7,T1,69.5,2
TX114,10.7,13.3,0.45,37.1,43.2,0.0,1.18,77.0,216.3,177.6,86.6,1147.8,22.44,907.8,25.4,33.1,43.2,T3,51.7,3
TX115,13.0,29.4,0.965,73.2,93.9,0.18,1.91,160.9,1.0,12.2,7.2,6.2,0.84,562.3,15.0,36.2,58.0,normal,87.6,0
